artist,album,track_name
Mac Miller,Swimming,Self Care
The Undercover Dream Lovers,Good Luck,Good Luck
Claude Debussy,Clair de lune (Debussy),"Debussy: Suite bergamasque, CD 82, L. 75: III. Clair de lune"
John Coltrane,Forever John Coltrane,Naima
Hawthorne Heights,The Silence In Black And White (Re-Issue),Ohio Is For Lovers
Good Charlotte,The Young and The Hopeless,The Anthem
Sum 41,"All Killer, No Filler",Fat Lip
Night Lovell,Concept Vague,Dark Light
Hozier,Hozier (Special Edition),Work Song
Beyoncé,RENAISSANCE,BREAK MY SOUL
BROCKHAMPTON,SATURATION,FACE
"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)
"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,DOGTOOTH
Dillon Francis,Love Me Better (Jonasu Remix),"Love Me Better (with Shift K3Y & Jonasu, feat. Marc E. Bassy) - Jonasu Remix"
The Smashing Pumpkins,(Rotten Apples) The Smashing Pumpkins Greatest Hits,Eye
Mareux,The Perfect Girl,The Perfect Girl
Sleep Token,Take Me Back To Eden,Chokehold
Childish Gambino,Camp,Heartbeat
$uicideboy$,"Sing Me a Lullaby, My Sweet Temptation",1000 Blunts
Kanye West,Yeezus,On Sight
$uicideboy$,I No Longer Fear the Razor Guarding My Heel (III),"All That Glitters Is Not Gold, But It's Still Damn Beautiful"
$uicideboy$,For the Last Time,For the Last Time
Night Lovell,EYE SPY,EYE SPY
$uicideboy$,I No Longer Fear The Razor Guarding My Heel (V),"A Little Trauma Can Be Illuminating, And I'm Shining Like The Sun"
Run The Jewels,RTJ4,a few words for the firing squad (radiation)
Mac Miller,K.I.D.S.,The Spins
BONES,DreamCard,TheCavernsOfTime
$uicideboy$,YUNGDEATHLILLIFE,Lte
Labrinth,Euphoria (Original Score from the HBO Series),McKay & Cassie
Sergei Prokofiev,Prokofiev: Romeo and Juliet,"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights"
Carl Orff,The 35 Most Evil Pieces of Classical Music,Carmina Burana: O Fortuna
ODESZA,Flaws in Our Design,Heavier
Against Me!,Reinventing Axl Rose,"Baby, I'm an Anarchist!"
Pennywise,Land Of The Free?,Fuck Authority
Bikini Kill,The Singles,I Like Fucking
Etta James,At Last!,A Sunday Kind Of Love
Ne-Yo,Year Of The Gentleman (Bonus Track Edition),Closer
$uicideboy$,"Sing Me a Lullaby, My Sweet Temptation",Fucking Your Culture
